TransactionID,StoreID,StoreCity,CustomerID,CustomerSegment,TransactionDateTime,ProductID,ProductName,Category,Quantity,UnitPrice,DiscountPercent,TotalAmount,PaymentMethod
TXN777960,STR010,Metro City,CUST58973,Premium,2024-08-05 11:40:00,P001,Olive Oil 1L,Groceries,5,45.5,0,227.5,Debit Card
TXN265123,STR017,East Town,CUST15349,New,2024-12-21 15:12:00,P007,Milk 1L,Dairy,6,9.8,20,47.04,Cash
TXN582460,STR003,Capital City,CUST60096,Regular,2024-04-03 22:14:00,P006,Fresh Bread,Bakery,1,3.5,10,3.15,Credit Card
TXN702415,STR004,Coastal Bay,CUST67524,Premium,2024-05-16 13:47:00,P006,Fresh Bread,Bakery,7,3.5,0,24.5,Cash
TXN770880,STR011,Metro City,CUST15535,Regular,2024-02-13 17:19:00,P002,Fresh Tomatoes 1kg,Fresh Produce,9,8.2,15,62.73,Mobile Payment
TXN838941,STR017,Capital City,CUST38710,Premium,2024-04-07 21:49:00,P005,Shampoo 400ml,Personal Care,1,28.9,0,28.9,Debit Card
TXN443829,STR018,Capital City,CUST43384,New,2024-05-14 19:26:00,P006,Fresh Bread,Bakery,3,3.5,0,10.5,Mobile Payment
TXN895203,STR009,Midtown,CUST69513,Premium,2024-02-06 21:33:00,P005,Shampoo 400ml,Personal Care,5,28.9,5,137.28,Cash
TXN708058,STR002,Central City,CUST31537,Premium,2024-10-23 10:04:00,P001,Olive Oil 1L,Groceries,8,45.5,0,364.0,Mobile Payment
TXN533449,STR005,Central City,CUST80573,Regular,2024-11-27 21:24:00,P006,Fresh Bread,Bakery,6,3.5,5,19.95,Cash
TXN298050,STR005,North Port,CUST92832,New,2024-07-01 18:39:00,P002,Fresh Tomatoes 1kg,Fresh Produce,5,8.2,0,41.0,Mobile Payment
TXN459038,STR004,South Beach,CUST35277,Regular,2024-05-25 17:03:00,P002,Fresh Tomatoes 1kg,Fresh Produce,3,8.2,0,24.6,Cash
TXN472647,STR012,Midtown,CUST58141,VIP,2024-01-23 19:24:00,P007,Milk 1L,Dairy,10,9.8,0,98.0,Credit Card
TXN339670,STR017,North Port,CUST74961,New,2024-12-02 21:04:00,P001,Olive Oil 1L,Groceries,2,45.5,0,91.0,Credit Card
TXN309956,STR009,East Town,CUST61600,New,2024-02-18 16:25:00,P009,Rice 5kg,Groceries,2,55.0,0,110.0,Debit Card
TXN772287,STR019,South Beach,CUST63908,New,2024-05-19 21:16:00,P008,Chicken Breast 1kg,Meat & Poultry,1,65.0,10,58.5,Debit Card
TXN876892,STR018,Metro City,CUST36882,Premium,2024-07-25 14:41:00,P003,Laundry Detergent,Household Items,10,32.0,0,320.0,Credit Card
TXN118128,STR007,Central City,CUST77285,New,2024-07-08 17:29:00,P002,Fresh Tomatoes 1kg,Fresh Produce,6,8.2,0,49.2,Cash
TXN553689,STR014,Downtown,CUST22148,VIP,2024-05-14 19:28:00,P007,Milk 1L,Dairy,9,9.8,0,88.2,Debit Card
TXN947675,STR004,Midtown,CUST61897,Regular,2024-07-24 14:27:00,P002,Fresh Tomatoes 1kg,Fresh Produce,3,8.2,0,24.6,Mobile Payment
TXN138936,STR001,Coastal Bay,CUST35195,VIP,2024-07-16 22:26:00,P002,Fresh Tomatoes 1kg,Fresh Produce,7,8.2,0,57.4,Debit Card
TXN380205,STR015,Midtown,CUST73184,New,2024-08-07 22:27:00,P007,Milk 1L,Dairy,6,9.8,0,58.8,Debit Card
TXN973194,STR009,Capital City,CUST80296,Regular,2024-03-03 15:56:00,P001,Olive Oil 1L,Groceries,8,45.5,0,364.0,Debit Card
TXN935082,STR009,Midtown,CUST46272,Regular,2024-07-04 19:34:00,P009,Rice 5kg,Groceries,4,55.0,0,220.0,Cash
TXN254788,STR008,Central City,CUST73951,New,2024-03-27 16:20:00,P009,Rice 5kg,Groceries,4,55.0,0,220.0,Credit Card
TXN737023,STR013,Mountain View,CUST35360,Regular,2024-10-20 09:27:00,P006,Fresh Bread,Bakery,10,3.5,0,35.0,Credit Card
TXN171967,STR009,East Town,CUST97878,New,2024-04-05 15:10:00,P007,Milk 1L,Dairy,3,9.8,0,29.4,Debit Card
TXN588352,STR012,South Beach,CUST48895,New,2024-07-31 14:31:00,P009,Rice 5kg,Groceries,7,55.0,0,385.0,Debit Card
TXN392633,STR015,Metro City,CUST50573,New,2024-07-18 10:14:00,P004,Samsung TV 55inch,Electronics,2,4500.0,0,9000.0,Mobile Payment
TXN292690,STR016,Mountain View,CUST96484,Regular,2024-12-14 08:50:00,P010,Bananas 1kg,Fresh Produce,1,12.5,20,10.0,Cash
TXN919587,STR005,Midtown,CUST68766,New,2024-04-01 13:38:00,P005,Shampoo 400ml,Personal Care,5,28.9,0,144.5,Cash
TXN711354,STR013,Midtown,CUST46168,Premium,2024-01-28 12:45:00,P008,Chicken Breast 1kg,Meat & Poultry,3,65.0,0,195.0,Cash
TXN186492,STR003,East Town,CUST62480,New,2024-03-27 13:39:00,P004,Samsung TV 55inch,Electronics,8,4500.0,0,36000.0,Credit Card
TXN315316,STR016,Capital City,CUST72714,Regular,2024-10-02 21:16:00,P009,Rice 5kg,Groceries,4,55.0,5,209.0,Debit Card
TXN763809,STR002,Downtown,CUST92736,New,2024-06-03 19:11:00,P006,Fresh Bread,Bakery,6,3.5,0,21.0,Credit Card
TXN428288,STR014,Midtown,CUST29896,Premium,2024-08-31 10:05:00,P005,Shampoo 400ml,Personal Care,2,28.9,0,57.8,Credit Card
TXN869817,STR003,Mountain View,CUST36141,Regular,2024-09-18 09:08:00,P006,Fresh Bread,Bakery,1,3.5,0,3.5,Cash
TXN128250,STR005,East Town,CUST26945,Regular,2024-07-25 16:37:00,P002,Fresh Tomatoes 1kg,Fresh Produce,7,8.2,0,57.4,Debit Card
TXN857270,STR010,Central City,CUST81642,VIP,2024-06-10 18:04:00,P008,Chicken Breast 1kg,Meat & Poultry,2,65.0,0,130.0,Debit Card
TXN128145,STR010,South Beach,CUST36570,Regular,2024-01-03 10:04:00,P003,Laundry Detergent,Household Items,7,32.0,0,224.0,Mobile Payment
TXN654700,STR015,Mountain View,CUST56091,New,2024-01-15 19:53:00,P001,Olive Oil 1L,Groceries,10,45.5,0,455.0,Mobile Payment
TXN276429,STR007,Downtown,CUST18668,Premium,2024-10-23 16:56:00,P004,Samsung TV 55inch,Electronics,4,4500.0,0,18000.0,Cash
